learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),model training instances,model serialized size (bytes)
10.0,0.01903,9.885533816284602E-12,100.0,34.0,0.0,1.4925373134328375,0.0,2008.0
20.0,0.033226,1.7259944644239213E-11,200.0,32.0,0.0,-0.7407407407407414,0.0,2008.0
30.0,0.038172,1.9829248388608295E-11,300.0,32.666666666666664,0.0,-0.49751243781094856,0.0,2008.0
40.0,0.042722,2.219284160269631E-11,400.0,31.75,0.0,-0.7380073800738014,0.0,2008.0
50.0,0.046458,2.41335853934288E-11,500.0,31.8,0.0,1.1594202898550736,0.0,2008.0
60.0,0.049712,2.582394414477878E-11,600.0,32.33333333333333,0.0,1.4563106796116438,0.0,2008.0
70.0,0.052173,2.7102362364530562E-11,700.0,32.42857142857143,0.0,2.0703933747412018,0.0,2008.0
80.0,0.054158,2.8133512371116212E-11,800.0,32.125,0.0,1.6304347826086931,0.0,2008.0
90.0,0.056144,2.9165181848737926E-11,900.0,32.33333333333333,0.0,1.1363636363636358,0.0,2008.0
100.0,0.058121,3.019217608703507E-11,1000.0,32.0,0.0,-0.7407407407407414,0.0,2008.0
