learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),model training instances,model serialized size (bytes)
10.0,0.012256,4.4642554389105905E-12,100.0,34.0,0.0,-57.14285714285712,0.0,1408.0
20.0,0.023057,8.398526244693331E-12,200.0,34.0,0.0,-57.14285714285712,0.0,1408.0
30.0,0.027058,9.855892923143174E-12,300.0,33.666666666666664,0.0,-49.62406015037593,0.0,1408.0
40.0,0.03092,1.1262628767225476E-11,400.0,35.25,0.0,-40.760869565217405,0.0,1408.0
50.0,0.033992,1.2381606631808809E-11,500.0,36.6,0.0,-30.99173553719009,0.0,1408.0
60.0,0.037145,1.3530088795555961E-11,600.0,37.666666666666664,0.0,-28.082191780821912,0.0,1408.0
70.0,0.039792,1.4494260152180988E-11,700.0,37.142857142857146,0.0,-28.279883381924197,0.0,1408.0
80.0,0.041824,1.5234417385525172E-11,800.0,37.375,0.0,-26.196473551637283,0.0,1408.0
90.0,0.043285,1.5766587522294785E-11,900.0,36.77777777777778,0.0,-30.205949656750587,0.0,1408.0
100.0,0.044564,1.6232464048597545E-11,1000.0,37.5,0.0,-27.551020408163268,0.0,1408.0
